region,plot,tph,h,cov,crown,branch,shanon,regen,elev,asp,slope,sand1,clay1,lim1,C1,K1,P1,N1,EC1,pH1
Arjanak,A01,0,0,0,0,0,0,112,2300,176,7,34,46,28,0.23,557,16.9,0.58,1,7.4
Gaykan,G12,0,0,0,0,0,0,3270,2500,186,8,33,26,29,0.96,358,24.3,0.2,0.76,7.6
Gaykan,G21,70,86,1,185,6,0.1,930,2500,170,8,34,23,31,1.05,322,21.8,0.12,0.74,7.5
Arjanak,A10,20,81,1,95,9,0.68,200,2300,197,9,27,19,29,0.94,537,15.2,0.32,0.68,7
Gaykan,G07,10,65,1,50,3,0,0,2500,177,9,32,22,19,0.73,414,20.3,0.07,0.89,7.2
Gaykan,G08,160,160,7,155,13,1.03,4030,2500,237,9,26,31,23,1.21,331,26,0.12,0.41,6.9
Gaykan,G05,80,100,2,80,7,0,3390,2500,229,10,39,26,29,0.71,283,18.3,0.07,1.05,7.9
Arjanak,A04,80,65,2,53,3,0.46,2864,2500,206,11,30,17,21,0.7,517,17.3,0.44,0.33,7.1
Gaykan,G03,30,40,1,55,3,0,990,2500,244,11,32,22,33,0.95,260,27.1,0.09,0.74,7
Gaykan,G06,30,35,1,45,4,0,1940,2500,186,12,35,30,30,1.06,325,24.5,0.09,1.2,7.8
Gaykan,G02,180,210,12,120,15,0,2740,2500,205,13,31,19,25,0.75,242,24.7,0.07,1.1,7
Gaykan,G30,0,0,0,0,0,0,260,2500,196,13,52,17,21,0.97,247,16.8,0.1,1.17,7.5
Arjanak,A06,240,65,25,68,4,0.43,4707.3,2300,18,14,31,30,13,0.89,185,9.3,0.46,0.71,6.8
Gaykan,G01,80,120,8,180,7,0,1220,2500,243,16,34,20,30,0.8,286,26.1,0.08,0.7,7.4
Arjanak,A29,30,175,1,115,8,0.75,0,2100,196,17,19,20,27,1.02,235,10.1,0.39,1.36,7
Gaykan,G15,30,80,1,75,6,0,0,2500,200,17,36,18,21,0.91,471,32,0.09,0.62,6.5
Arjanak,A05,310,74,28,83,5,0.21,4305,2300,103,18,35,18,15,0.69,336,14.8,0.21,0.87,6.7
Gaykan,G24,340,45,12,95,8,0.12,70,2500,145,18,32,26,31,1.07,292,22.6,0.12,0.66,7.5
Arjanak,A03,400,37,8,43,2,0.3,3452,2300,72,19,38,24,19,0.94,426,24.7,0.34,0.87,6.4
Gaykan,G11,60,125,1,180,6,0,1680,2500,234,19,47,15,30,1.47,198,14.8,0.14,0.59,7.5
Gaykan,G22,90,110,3,235,17,0.13,90,2500,187,21,34,25,36,0.83,242,16.8,0.08,0.53,7.5
Arjanak,A09,260,61,17,103,7,0.76,2226,2300,58,22,23,24,32,0.85,467,13.3,0.33,0.78,6.9
Durak,D24,30,60,1,70,4,0.1,2247,2100,346,26,26,14,12,1.24,205,9.1,0.26,0.95,7.3
Gaykan,G13,80,190,4,310,26,0,2140,2500,198,27,29,22,31,1.05,471,26.8,0.1,0.29,7.8
Gaykan,G14,0,0,0,0,0,0,80,2500,181,27,32,26,35,0.94,222,18.5,0.12,0.84,7.6
Gaykan,G28,50,60,1,75,6,0.23,2120,2700,127,27,34,23,28,0.97,305,19.4,0.1,0.73,7.4
Gaykan,G19,110,120,6,260,27,0.24,2850,2500,196,30,35,23,29,0.91,438,33.8,0.09,0.88,7.6
Gaykan,G23,150,125,8,275,26,0.09,0,2500,198,30,35,22,26,0.8,300,23.5,0.1,0.76,7.1
Arjanak,A13,120,59,1,58,6,0.94,2483.7,2100,44,31,26,27,19,0.69,346,18.4,0.29,0.49,7
Gaykan,G04,50,40,1,40,4,0,210,2500,152,31,33,15,40,0.96,360,25.1,0.09,0.54,7.6
Arjanak,A02,150,42,1,35,2,0.1,2279.7,2500,357,32,49,12,15,1.5,617,16.9,0.38,0.76,7.2
Durak,D17,130,45,2,76,6,0.62,2300,2100,143,32,64,22,11,0.84,235,13.7,0.27,0.55,6.5
Gaykan,G16,30,105,1,245,18,0.3,110,2500,163,33,34,20,27,0.75,295,19.4,0.08,0.75,6.9
Gaykan,G32,0,0,0,0,0,0,1260,2700,226,34,44,16,27,1.31,292,12.1,0.13,0.99,7.9
Gaykan,G10,160,115,8,280,18,0,4080,2500,200,35,30,28,39,0.94,210,14.1,0.09,1.34,7.9
Durak,D20,60,55,1,45,3,0.23,100,2100,162,37,34,21,21,0.76,235,14.1,0.21,0.85,7.4
Durak,D12,50,120,2,254,21,0.54,1060,2300,93,39,32,24,21,1.33,306,10.5,0.26,0.45,7
Durak,D14,60,53,3,224,34,1.02,3928,2100,27,40,46,22,13,1,255,8.6,0.23,0.5,7.1
Durak,D28,40,59,1,135,9,0.38,1123.5,2300,343,40,38,26,29,0.8,306,12.3,0.23,1,7.2
Gaykan,G09,250,80,4,70,6,0.6,3920,2500,190,40,25,32,31,0.92,256,34,0.09,0.38,6.9
Durak,D30,210,62,3,76,8,0.4,5482,2300,324,41,17,20,25,0.46,255,17.3,0.22,0.35,6.9
Gaykan,G31,120,75,2,175,13,0.14,2360,2500,210,41,33,15,24,1.21,333,14,0.12,0.33,7
Arjanak,A11,60,110,2,220,23,0.68,879,2100,209,42,42,11,28,0.7,416,15.5,0.31,0.87,6.9
Arjanak,A22,160,132,4,185,46,1.3,3060,2100,43,42,31,13,16,0.95,265,9.3,0.45,0.58,6.8
Durak,D19,230,48,11,120,5,0.2,4910,2100,319,44,29,13,18,0.95,175,7.7,0.26,0.8,7.4
Gaykan,G20,0,0,0,0,0,0,870,2700,189,44,29,26,27,0.94,471,18.5,0.08,0.84,7.5
Arjanak,A08,40,53,1,72,5,0,0,2300,189,45,24,14,20,1.06,245,7.7,0.47,0.67,6.8
Arjanak,A12,160,60,3,112,9,0,685,2300,211,48,29,18,20,0.7,467,30.4,0.32,0.68,6.7
Gaykan,G29,0,0,0,0,0,0,4230,2700,263,49,21,31,31,0.55,271,15,0.05,1.42,7.6
Durak,D18,40,65,1,50,3,0,0,2100,129,50,52,17,19,1.42,255,10.8,0.3,0.9,7.3
Durak,D15,140,88,7,180,22,1.18,3180,2300,62,51,17,20,18,0.96,346,10.4,0.27,0.55,7.5
Gaykan,G25,20,30,1,55,3,0.16,1060,2500,184,52,33,24,30,0.9,334,20.1,0.1,0.72,7.4
Durak,D09,60,84,2,156,18,0.31,2260,2100,196,54,54,20,27,1.22,175,11.7,0.26,0.45,7.1
Durak,D10,170,67,13,375,29,1.44,6874,2100,40,54,22,13,21,0.86,215,10.2,0.23,0.6,7
Durak,D22,90,80,1,60,4,0.3,1123.5,2300,336,54,25,15,17,1.75,255,8.6,0.31,1.15,7.2
Durak,D26,110,50,1,95,6,0.03,0,2100,136,54,29,6,27,0.31,255,9.7,0.22,1.2,7.2
Gaykan,G17,20,45,1,65,4,0,0,2500,288,54,38,22,20,0.59,213,24.1,0.11,0.84,7.2
Arjanak,A27,50,145,1,131,15,1.08,1000,2300,190,57,50,23,22,0.93,265,12.8,0.49,0.58,6.8
Durak,D23,70,110,1,105,5,0,180,2100,156,58,48,13,21,1.92,255,7.8,0.3,1.15,7.2
Gaykan,G33,110,125,3,240,36,0.52,3110,2700,194,58,30,28,27,0.76,279,14.2,0.08,1.45,7.3
