site,habitat,spp1,spp2,spp3,spp4,spp5,spp6,spp7,spp8
1,forest,69,64,48,97,90,31,10,49
2,forest,35,96,43,93,70,76,27,49
3,forest,78,47,24,12,64,94,53,17
4,forest,86,57,56,95,45,21,13,75
5,forest,77,2,51,62,4,61,70,80
6,forest,38,65,63,73,6,78,12,93
7,forest,20,52,99,16,24,30,90,41
8,forest,25,4,88,22,74,81,56,56
9,forest,13,31,19,29,4,5,3,62
10,forest,99,98,63,99,10,22,90,10
11,playa,56,4,40,7,25,4,77,31
12,playa,18,79,96,42,74,47,13,65
13,playa,30,27,79,45,78,6,7,50
14,playa,7,99,20,72,90,50,82,89
15,playa,42,3,52,11,26,12,5,69
16,playa,72,2,98,30,7,46,31,81
17,playa,90,23,54,66,64,68,69,17
18,playa,7,65,47,61,90,57,80,19
19,playa,33,94,76,68,92,55,32,14
20,playa,27,61,26,19,9,72,100,9
21,meadow,85,3,10,19,60,89,37,59
22,meadow,100,12,54,17,46,72,63,69
23,meadow,74,35,92,60,17,36,69,45
24,meadow,52,17,47,48,94,85,45,4
25,meadow,23,92,8,13,88,0,71,69
26,meadow,78,60,51,40,19,7,93,76
27,meadow,70,73,52,44,64,100,26,61
28,meadow,54,31,53,48,58,27,37,48
29,meadow,53,62,13,7,63,24,80,58
30,meadow,49,44,54,59,44,54,0,6
