site,habitat,spp1,spp2,spp3,spp4,spp5,spp6,spp7,spp8
1,forest,83,92,4,49,0,93,791,45
2,forest,54,63,31,45,0,46,275,56
3,forest,68,53,94,74,0,46,252,58
4,forest,59,84,53,0,0,28,719,22
5,forest,22,32,51,27,0,57,786,4
6,forest,25,39,13,25,0,20,64,53
7,forest,24,90,55,8,1,54,134,9
8,forest,39,19,39,69,3,21,172,55
9,forest,1,41,42,59,2,7,170,4
10,forest,37,48,84,89,1,0,717,84
11,playa,945,8,813,16,0,8,18,157
12,playa,624,17,20,4,21,12,12,689
13,playa,893,8,144,5,17,13,18,40
14,playa,643,7,719,9,11,6,0,863
15,playa,725,16,748,4,0,18,8,872
16,playa,293,10,964,1,19,9,16,444
17,playa,522,16,412,8,17,12,16,23
18,playa,94,0,519,5,10,14,10,115
19,playa,180,1,800,8,10,16,19,783
20,playa,179,10,575,14,20,12,10,591
21,meadow,144,169,189,10,140,151,3,2
22,meadow,144,165,146,4,138,130,4,5
23,meadow,123,190,151,9,138,175,22,3
24,meadow,186,124,128,10,124,169,33,78
25,meadow,151,154,194,1,142,170,98,9
26,meadow,162,171,129,2,194,168,6,23
27,meadow,191,130,141,1,164,199,1,1
28,meadow,165,163,157,6,125,168,2,5
29,meadow,199,131,150,3,147,198,44,7
30,meadow,157,148,142,6,172,164,22,3
